YEAR,STATE,COUNTY,PARTY,VOTES
2024,CA,Colusa County,Republican,4414
2024,CA,Colusa County,Democratic,2431
2024,CA,Contra Costa County,Republican,155308
2024,CA,Contra Costa County,Democratic,356008
2024,CA,Del Norte County,Republican,5999
2024,CA,Del Norte County,Democratic,4266
2024,CA,El Dorado County,Republican,61109
2024,CA,El Dorado County,Democratic,47703
2024,CA,Fresno County,Republican,165924
2024,CA,Fresno County,Democratic,151628
2024,CA,Glenn County,Republican,6904
2024,CA,Glenn County,Democratic,3260
2024,CA,Humboldt County,Republican,21559
2024,CA,Humboldt County,Democratic,39800
2024,CA,Imperial County,Republican,26546
2024,CA,Imperial County,Democratic,26083
2024,CA,Inyo County,Republican,4468
2024,CA,Inyo County,Democratic,4201
2024,CA,Kern County,Republican,167879
2024,CA,Kern County,Democratic,108241
2024,CA,Kings County,Republican,25074
2024,CA,Kings County,Democratic,15519
2024,CA,Lake County,Republican,13161
2024,CA,Lake County,Democratic,12794
2024,CA,Lassen County,Republican,8619
2024,CA,Lassen County,Democratic,2478
2024,CA,Los Angeles County,Republican,1189862
2024,CA,Los Angeles County,Democratic,2417109
2024,CA,Madera County,Republican,32344
2024,CA,Madera County,Democratic,20981
2024,CA,Marin County,Republican,24054
2024,CA,Marin County,Democratic,116152
2024,CA,Mariposa County,Republican,5625
2024,CA,Mariposa County,Democratic,3622
2024,CA,Mendocino County,Republican,13528
2024,CA,Mendocino County,Democratic,24049
2024,CA,Merced County,Republican,43955
2024,CA,Merced County,Democratic,40190
2024,CA,Modoc County,Republican,2884
2024,CA,Modoc County,Democratic,1008
2024,CA,Mono County,Republican,2294
2024,CA,Mono County,Democratic,3522
2024,CA,Monterey County,Republican,49226
2024,CA,Monterey County,Democratic,93060
2024,CA,Napa County,Republican,20357
2024,CA,Napa County,Democratic,43212
2024,CA,Nevada County,Republican,26177
2024,CA,Nevada County,Democratic,33784
2024,CA,Orange County,Republican,654815
2024,CA,Orange County,Democratic,691731
2024,CA,Placer County,Republican,123941
2024,CA,Placer County,Democratic,103958
2024,CA,Plumas County,Republican,5725
2024,CA,Plumas County,Democratic,4020
2024,CA,Riverside County,Republican,463677
2024,CA,Riverside County,Democratic,451782
2024,CA,Sacramento County,Republican,252140
2024,CA,Sacramento County,Democratic,381564
2024,CA,San Benito County,Republican,11702
2024,CA,San Benito County,Democratic,15179
2024,CA,San Bernardino County,Republican,378416
2024,CA,San Bernardino County,Democratic,362114
2024,CA,San Diego County,Republican,593270
2024,CA,San Diego County,Democratic,841372
2024,CA,San Francisco County,Republican,62594
2024,CA,San Francisco County,Democratic,323719
2024,CA,San Joaquin County,Republican,128996
2024,CA,San Joaquin County,Democratic,126647
2024,CA,San Luis Obispo County,Republican,64932
2024,CA,San Luis Obispo County,Democratic,81314
2024,CA,San Mateo County,Republican,76616
2024,CA,San Mateo County,Democratic,242957
2024,CA,Santa Barbara County,Republican,64870
2024,CA,Santa Barbara County,Democratic,114149
2024,CA,Santa Clara County,Republican,210924
2024,CA,Santa Clara County,Democratic,510744
2024,CA,Santa Cruz County,Republican,27978
2024,CA,Santa Cruz County,Democratic,100998
2024,CA,Shasta County,Republican,59539
2024,CA,Shasta County,Democratic,27130
2024,CA,Sierra County,Republican,1066
2024,CA,Sierra County,Democratic,641
2024,CA,Siskiyou County,Republican,12461
2024,CA,Siskiyou County,Democratic,8329
2024,CA,Solano County,Republican,70345
2024,CA,Solano County,Democratic,113997
2024,CA,Sonoma County,Republican,63426
2024,CA,Sonoma County,Democratic,179600
2024,CA,Stanislaus County,Republican,106986
2024,CA,Stanislaus County,Democratic,85347
2024,CA,Sutter County,Republican,25372
2024,CA,Sutter County,Democratic,13016
2024,CA,Tehama County,Republican,18503
2024,CA,Tehama County,Democratic,7415
2024,CA,Trinity County,Republican,2979
2024,CA,Trinity County,Democratic,2449
2024,CA,Tulare County,Republican,81854
2024,CA,Tulare County,Democratic,53221
2024,CA,Tuolumne County,Republican,17210
2024,CA,Tuolumne County,Democratic,10909
2024,CA,Ventura County,Republican,158901
2024,CA,Ventura County,Democratic,217424
2024,CA,Yolo County,Republican,27844
2024,CA,Yolo County,Democratic,61405
